workappid,workappcategoryid,userid,usermanagerid,usertypeofworkid,userroleid,permissionlevelid,permissionlevelisprivileged,0f59352a-ac72-4939-a50a-968d45eaaa48,1b6fbbb5-c339-48b3-a687-3cf94743b6ed,28978f92-779b-4c5b-9158-ee2f50126e82,3539597d-bf7c-48a9-b17b-0a6797fd7a9c,51b9afbc-5cd2-4f0e-b6dd-df8ccc59349c,7a2e09e6-1c6c-48d9-9158-0c20522fea6e,9d443c13-9ecd-4968-aedb-b29091d86e0d,9ed4c25f-ddbf-4165-87f0-dbc21fec27d3,NULL,b0ea3967-d8ae-4d3b-8c67-36c8093b2f4f,b2461ae8-bdb8-4e26-b498-fcc5f24a11b5,f88e80cf-980b-4bfd-b20f-bedc16b70fdb
3583114613297700608070339455969391773,9,228657344006269350703349502589075111517,225230267443488795553364034785142655675,10.0,1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,0
4085236547218554727886152859496252230,13,46665561627653219779574752096272683202,277571075826254762533973338928003681878,3.0,2,-1,-1,0,0,0,0,0,0,0,0,0,1,0,0
4085236547218554727886152859496252230,13,146261192473366111135329720915904098576,151739332144336147357751218681445514068,6.0,1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,0
4085236547218554727886152859496252230,13,155983465642597914656252740339398298340,225230267443488795553364034785142655675,10.0,1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0
4085236547218554727886152859496252230,13,215339009106190076641035966966229765347,225230267443488795553364034785142655675,10.0,1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0
4085236547218554727886152859496252230,13,220306460203551900655244166394347830397,46665561627653219779574752096272683202,10.0,1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,0
4085236547218554727886152859496252230,13,223936644816857863235920060950046669419,225230267443488795553364034785142655675,10.0,1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,0
4085236547218554727886152859496252230,13,225230267443488795553364034785142655675,269171309819458300501565234849742680982,1.0,2,-1,-1,0,0,0,0,0,0,0,0,1,0,0,0
4085236547218554727886152859496252230,13,228657344006269350703349502589075111517,225230267443488795553364034785142655675,10.0,1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,0
4085236547218554727886152859496252230,13,228810917681500856915425632329624302465,225230267443488795553364034785142655675,10.0,1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,0
4085236547218554727886152859496252230,13,231258759316836822627882679423761874584,225230267443488795553364034785142655675,10.0,1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,0
4085236547218554727886152859496252230,13,296022443714261881041805602868754294989,225230267443488795553364034785142655675,10.0,1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,0
6316185116875363527907914939090461619,15,7659358894181232028557143500590954194,46665561627653219779574752096272683202,10.0,1,199522170379288336947514833756115402581,0,0,0,0,0,0,0,0,0,1,0,0,0
6316185116875363527907914939090461619,15,9909161554132551083184732665662728442,133006839611232086563486291675975336885,14.0,1,199522170379288336947514833756115402581,0,0,0,0,0,0,0,0,0,1,0,0,0
6316185116875363527907914939090461619,15,19070315760616304144432208918563985188,182167550013718852784285584700501604816,6.0,1,199522170379288336947514833756115402581,0,0,0,0,0,0,0,0,0,1,0,0,0
6316185116875363527907914939090461619,15,21831593133420521854917534276523134007,50831337730849944321952841902339968884,10.0,1,199522170379288336947514833756115402581,0,0,0,0,0,0,0,0,0,1,0,0,0
6316185116875363527907914939090461619,15,27075433358540570958952467336875923823,103322697210114184574142431536992361574,6.0,2,199522170379288336947514833756115402581,0,0,0,1,0,0,0,0,0,0,0,0,0
6316185116875363527907914939090461619,15,30626059837473805841951370638162281190,-1,1.0,3,199522170379288336947514833756115402581,0,0,0,0,0,0,0,0,0,1,0,0,0
6316185116875363527907914939090461619,15,34243336909813573891256727474814449491,106034236332594801533119361560923738039,10.0,1,199522170379288336947514833756115402581,0,0,0,0,0,0,0,0,0,1,0,0,0
6316185116875363527907914939090461619,15,46665561627653219779574752096272683202,277571075826254762533973338928003681878,3.0,2,199522170379288336947514833756115402581,0,0,0,0,0,0,0,0,0,0,1,0,0
6316185116875363527907914939090461619,15,47732073549538324774129352095172768939,50831337730849944321952841902339968884,10.0,1,199522170379288336947514833756115402581,0,1,0,1,0,0,0,0,0,0,0,0,0
6316185116875363527907914939090461619,15,47918994896506067131952946268369950508,151739332144336147357751218681445514068,10.0,1,199522170379288336947514833756115402581,0,0,0,0,0,0,0,0,0,1,0,0,0
6316185116875363527907914939090461619,15,48123137997898122118950256460987956336,102791329747570101400175766977930966760,10.0,1,199522170379288336947514833756115402581,0,0,0,0,0,0,0,0,0,1,0,0,0
6316185116875363527907914939090461619,15,50273973478405706248327028447573058532,102791329747570101400175766977930966760,10.0,1,199522170379288336947514833756115402581,0,0,0,0,0,0,1,0,0,0,0,0,0
6316185116875363527907914939090461619,15,50831337730849944321952841902339968884,225230267443488795553364034785142655675,12.0,1,199522170379288336947514833756115402581,0,0,0,0,0,0,0,0,0,1,0,0,0
6316185116875363527907914939090461619,15,55975307838590145973279992731224769853,50831337730849944321952841902339968884,10.0,1,199522170379288336947514833756115402581,0,0,0,0,0,0,0,0,0,1,0,0,0
