userapproleid,workappid,workappname,workappcategoryid,userid,typeofworkname,userroleid,permissionlevelid,permissionlevelisprivileged
c38b22cc-f2fd-4455-9ab2-7fcff7d5c689,fdde40e9-607e-4ca7-8dd2-b8400ab512ad,DemoCompany,11,68be0762-db03-4de1-a241-e0c1e149610e,Other,1,50b8702a-de7c-4b41-a2a8-fe9dcf928c91,False
dac2ff0d-0904-4300-be52-f1e811ac5111,b21c8e4c-596a-4dd4-bb41-faeb55816d92,Notion,9,5ef65be4-b915-4190-9ae2-d7106ecd669c,Other,1,db51ec9b-d12d-4451-ba76-cbe858e5e78e,False
c4431ad6-fff3-4204-8cea-ae9e2fc9ca01,2e3eff2e-c215-40fe-af4e-5d5703c7bfc1,Hotjar,7,a5bd7b19-f493-4673-b905-9db7338cbc7d,Other,1,,
7da3e3af-1cbe-4e16-b811-6354f3f6f40c,a30938b2-564e-4eb9-a2e4-496c80eff28e,Modjo,4,5e0aeb86-0e79-4849-9f9e-69a430b61d3f,Other,1,,
c48e3bf2-3cd2-4e66-b0b8-2c2d84219f26,d38690f4-374b-4ea5-8f5c-64a1a030f4bd,Recruitee,10,4d7c5b08-1ced-44a4-87f0-c19237e8648e,Other,1,,
c7f5e38d-b8df-4afb-b567-a0937b36dfb0,04c073f8-2437-47a7-866d-a80a957de3b3,Zoom,15,106c9ca5-2577-4296-9c20-627794a00c37,Other,1,961a927e-fe39-47d8-bc23-a7be508f7f55,False
c4e13850-3861-448e-a60b-7449eae2d764,75d85b4a-d0c0-429e-8588-3576613736da,DemoDesk,4,5e8f2b22-e128-4269-893d-971ddc623038,Other,1,,
c5c49f5b-6c77-48f1-a8e9-b3c7eee282da,936a6328-2eae-4883-90f3-b08653640d42,ClickUp,9,ca6b2b0e-2f20-4b0f-9dbb-5c900851b632,ProductManagement,3,,
c90a2b58-9d24-4305-81b6-a1328aa00246,04c073f8-2437-47a7-866d-a80a957de3b3,Zoom,15,0e58cf28-dc3e-4099-95da-e68422031724,ITAndOrganization,1,961a927e-fe39-47d8-bc23-a7be508f7f55,False
c680ea53-3280-492a-9da0-fceae864e692,9256411b-cba5-4546-9ddb-f8f05a03db2a,Slack,15,adfad123-7082-475f-b4ae-87d6138b7e98,Other,1,,
c6823604-f7ef-4b81-abba-95ed534d9d7e,ee6aba37-d8a2-4a2a-92af-2533ff03b45d,Figma,6,4d7c5b08-1ced-44a4-87f0-c19237e8648e,Other,1,,
c6c3fa14-5941-40f2-b9c3-d9758208503f,90db3077-d9f7-4903-9d62-8cea1d237820,Segment,7,a971c58a-89cb-4ef5-a7ed-e90168344abb,Administration,2,,
